,birth year,tripduration,Aug-13,Sep-13,Oct-13,Nov-13,Dec-13,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,avgduration
0,1899,1114.952941,1258.191489,1393.531915,1508.258621,1541.864865,1863.735294,465.2380952,719.4444444,1026.428571,676.5263158,873.0784314,956.8571429,1261.432432,1288.051724,1358.439024,1130.526316,1204,714.6,1143.333333,1547.5,1079.769231,1086.578947,969.15625,1029.959184,1133.404255,889.22,821.2765957,982.8737864,717.5795455,776.7936508,803.3650794,814.4361702,2403.038835,822.4558824,779.5555556,901.0446429,1053.026087,1067.9,976.0169492,953.8617021,1148.626506,1960.642857,899.3392857,29372,799.9487179,734.9,740.125,996.8181818,1379.5,761.452381,957.244898,898.3684211,1404,822.5925926,522.0757576,531.2222222,1554.217145
1,1900,1423.418182,992.1369863,781.3715847,918.2623762,977.5416667,1027.469136,901.9565217,982.0294118,1073.978723,1061.472906,1019.674897,933.3535714,1058.966346,905.8044444,1016.034826,896.2023121,969.7627119,939.4956522,1111.707865,1099.216867,1049.294118,1212.673469,1260.458333,1201.833333,996.5121951,978.6666667,874.8571429,1215.142857,1169.923077,1669.888889,1130.125,1077.894737,1109.205882,5754.333333,1067.4,1284.8,835.7419355,859.5277778,1530,1094,1229,617,1621.9,820.9545455,963.5,12920.2,1456.5,1194.545455,805.5423729,1478.380952,955,1126.5,890.137931,669.3114754,746,340.6090909,1344.593171
2,1901,1105.571429,1029.013889,981.4246575,1024.805556,926.8947368,1063.636364,1200,1330.636364,652.3870968,663.9375,623.369863,734.2575758,729.5,705.4090909,722.2923077,783.5416667,805.877551,618.7333333,1052,1217.444444,1160.7,1087.213793,1119.164557,1182.626866,1166.728814,1231.142857,1726.615385,870.2777778,1335.642857,1000.06087,1088.458333,784.0693069,874.5619835,978.8787879,359.1428571,701.9666667,1337.5,2407,687.4642857,855.9583333,485.7333333,792.2727273,709.5,779.375,389.6666667,988.1111111,1183.25,1468.6,1226.909091,669.4545455,1728.090909,1149.2,1098.4,1115,585.28826,533.2335165,979.071302
3,1910,710.6666667,1300,835,963.4444444,964.4444444,822,1401.75,574.8,1477.125,1053.666667,691.5,556.6666667,1130.5,859,510.6666667,569.7272727,703.3333333,1529.5,1430,1659,831,884.2222222,1015.37931,1825.689655,934.8,875.5909091,1068.976608,1048.005917,872.4,985.9,1227.388889,1538.5,1088.176471,949.7981651,1175.333333,284,247,386.2,175,779,711.1428571,691.2307692,666.3333333,308.75,758.5333333,745.5789474,581.55,600.2222222,727.5238095,1031.076923,1185.75,1379,1333.847458,652,585.8295455,744.625,904.2526221
4,1913,1485.461538,1528.285714,1182,1323.458333,1238.588235,1512.705882,1644.5,1613.25,1026,659.7142857,1187.119048,1064.961538,1645.363636,1245.375,1474.875,1464.6,1719,354.1666667,425.8823529,478.4166667,1215.666667,1653,655,796.6,956,610.4,921.3846154,887.2222222,682.5,6607,1279,1042,1020.5,1074.482759,1057.813953,873.4210526,961.35,937.5,367,1109.5,829.1754386,690.6,974.48,671.8888889,531,935.6,874.4615385,1154.2,588.25,5906,1082,12629.33333,630,1281,926.85,1210.5,1426.721507
5,1920,807.6071429,1314.666667,1846.3,1489.5,929.9333333,1086.2,1249,112,839,1355.272727,810,968.5625,964.125,688.125,911.1666667,690.7142857,374,521.4,574.25,634,517.25,563.0344828,607.1666667,853.4,807.0952381,548.25,396.6875,569.7380952,206.8,341.6666667,137.4347826,177.7692308,351.1111111,540.6388889,1051.96875,1025.829457,1110.386139,821.25,653.8333333,1015,836.7272727,687.5757576,811.8555556,874.5,1246.322581,601,982.4,341.3333333,925.1875,725.8,709.25,455.6388889,399.5,284.3623446,3096.257092,453.578125,783.8111092
6,1921,638.08,461.6153846,1403.75,1018.5,1491,499.6666667,71,700,616.8461538,385,1176.923077,806.75,611.625,861.75,770.8571429,76,455.6,672,312.7,548.3333333,445.6666667,771.1111111,813.8205128,491.25,1306.4,1414.615385,1306.909091,1213.2,1127,641.5,476,967,870.125,1154.55,848.5333333,1134.470588,1016.368421,1160.565934,1098.202312,449.2580645,1001.058333,954.617284,989.5416667,873.8,952.9,761.5625,807.7307692,866.5121951,813.5,744.05,550.96,910.4313725,694.2692308,1140.166667,812.8578431,912.2047497,822.6911748
7,1922,535,577.1304348,1223.7,483.2727273,411.8,583.1111111,473.7894737,389,508.0344828,609.8571429,270,413.6363636,589,792,812,735.8333333,659.5,837.7777778,444.5,3469,1001.777778,408.5833333,570,768.8333333,965.3333333,1033.333333,810.7777778,952.2857143,1978,495.5,371,615.5,583.3333333,524,828.6206897,1990.428571,488,846.1833333,969.212766,1080.409574,1175.65625,979.1,143.9230769,928.1234568,1185.483871,950.7169811,976.8627451,1085.911392,932.972973,371.5,932.625,1069.846154,998.75,671,445.6390086,519.1404348,811.8983404
8,1924,387.6666667,638.09375,987.8333333,719.1090909,479.2352941,871.5,753.25,415.6875,406.3636364,579.4,594.0769231,738.5263158,818.3513514,895.5,955.0416667,662.6666667,839.3125,469.5,443.3,336,229.7209302,1361.5,2234.866667,409,1860,2332,411.6666667,771.2352941,415.2222222,911.2307692,538.5,1141,656,971.9285714,1583,424.6052632,701.0833333,1338.8,282.1290323,906.75,150.8333333,187.8214286,904.4285714,1000.354839,512,841.027027,959,1019.968254,961.421875,969.6428571,659,359.0907945,250.413452,216.8571429,502.2431034,716.9354839,762.1730644
9,1926,787,654.5,434.0833333,449.5,524.8,821.7647059,494.25,864.6,1092.363636,778.8666667,437.0909091,599.4,1890.5,1693.5,1592.75,950.1363636,459.5,294.4444444,292.59375,1018.5,436.0526316,381.7777778,770.2857143,1496.666667,408,776.9166667,467.8333333,644.3333333,550.5454545,487.037037,406.1111111,130,231.5,384.4666667,1920,676.4,557,330.5517241,971.5,263.5128205,1003.97561,899.1578947,3570.125,1326,254.7058824,482.5,1099.666667,1036,1014.171429,851.766055,764.1428571,1161.576923,1012.285714,877.6,677.4418605,608.4296875,804.6460773
10,1927,444.8571429,631.8571429,597.3243243,868.72,744.5,482.3,789.5,533,560,721.0952381,755.5,852.2777778,250,622.3333333,518.5,1756.6,503,205.5,567.28,266.1282051,786.5,336.5555556,694,867,377.6,773,651.1,683,1295,481.08,664.8,809.4545455,1092.105263,770.2777778,1052.666667,1900.5,1852.333333,724,1309.909091,989.5517241,710,633.4166667,331.6666667,271.0454545,742.8333333,201.7037037,343.3055556,428.4782609,405.0869565,1171.052632,901.5,756.6666667,174.8947368,276.5,483.9166667,355.0639205,695.8542561
11,1930,1557.75,643.7142857,698.1428571,485.3333333,475.6153846,1711.333333,365,576,658,1761,842.2857143,1883,634.744186,546.8571429,601.7878788,556.6666667,1084,566,521.6315789,467.9285714,485,835.2051282,480.55,584.32,1159,3383,2353.454545,690,772.7674419,758.8,623.5833333,617.1666667,8781,516.6,569.2142857,799.3448276,773.5555556,1696.166667,1102.423077,988.625,280.6363636,353.6363636,467.0909091,771.3333333,577.6363636,736.4166667,901.3529412,825.9666667,762.2857143,1824.666667,1295.269231,196.40625,923.0555556,516.5,402.9705882,652.6136364,1001.685798
12,1932,1199.707692,1976.333333,631.2058824,1292.214286,903.0833333,540.2222222,473,403.3,682.8888889,1855,747.5,1465.333333,454.9285714,340.2321429,434.7692308,589,384.9047619,372.8148148,527.75,396.8333333,653.4343434,2168.947368,296.3103448,1871,1169.5,483.5,2898,850.862069,1038.333333,603.0882353,766.375,803.8,587.3076923,385.8571429,1275.555556,1275.066667,352.7142857,1398.733333,379.125,355.2307692,262,207,1373,298,470.3333333,1336.2,2157,1618.666667,1647.357143,468.8888889,425.8139535,1363.361111,465,673.4285714,1266.087349,375.1305221,887.3398305
13,1933,534.0188679,1169.75,933,1344.4,695.5,2212.948718,456.28,579.5714286,468.8636364,572.0588235,504,534.4333333,690.1153846,511.4590164,608.5066667,378.5625,352.8627451,378.0892857,1031.779817,1124.17,1399.571429,762.5555556,802.6521739,443.9189189,594.4431818,620.72,596.4193548,499.28125,631.2666667,1037.586207,371.1666667,555.4444444,3113.75,26777,373.5882353,1401,547.25,708.7777778,359.6,1311.785714,657.3333333,343.2857143,195,416.1111111,134,558,403.2,602.75,2987.75,423.4545455,1200.076923,1719.75,559,246.875,256.0375552,465.8291971,1234.939307
14,1934,1124.892857,1068.166667,1760.2,920.75,1955,470.4923077,604.6896552,8503.5,331.8269231,480.7555556,1671.5,347.8484848,700.4222222,824.3263158,817.1666667,564.4761905,718.5,415.8913043,850.15625,672.7857143,595.6496815,1111.363014,1010.938776,683.7014925,483.6041667,838.2,768.1875,587.8888889,1200.354839,602.2083333,795.3504673,704.8,667.5454545,962.4,722,512.7419355,521.3333333,181,660.65,378.7,855.5384615,1018.166667,389.25,691.1111111,443.5625,894.5,1088.022727,914.5333333,1009.333333,860.1666667,903.6666667,328.3333333,289.3333333,1000.896104,2516.163912,390.0950599,935.4399679
15,1935,1311.803279,544.5531915,1595.333333,946.721519,747.3333333,676.0333333,547.8974359,463.516129,502.0731707,728.5471698,1156,633.3428571,1109.539216,934.547619,827.0434783,833.814433,557.2631579,602.2758621,671.6174497,649.5966387,688.9490617,889.3766234,706.2857143,1084.741935,741.9090909,806.5283019,614.1555556,1716.181818,830.2857143,848.3836207,798.4621849,1643.071429,1844.72093,762.8727273,854.5,924.1176471,633.9,491,813.3846154,546.2083333,1725.7,984,701,954,529.5945946,380.5833333,446.1111111,817.8333333,628.0555556,1096.75,330,1038.526316,696.4444444,222.6,442.4919355,1051.110665,827.1908785
16,1936,828.3125,740.2941176,1316.333333,641.1538462,516.0789474,606.0657895,501.8,709.2916667,713.4126984,660.8219178,600.2352941,736.2857143,1040.8625,930.7755102,827.7647059,1881.207317,996,680.5,636.9272152,732.3762887,823.329918,943.15,1050.879828,1234.807692,872.4615385,890.8611111,1348.780952,785.7391304,869.1960784,822.4484305,631.1012146,857.1780822,835.1182796,792.6595745,1215,832.6666667,796.5,613.1363636,495,669.6206897,677.3768116,860.8,1256.857143,136.5,1016,649.2894737,1857,674.75,328.75,2091,5076.166667,1019.444444,498.875,493.5,365.8876404,332.5413133,910.9084537
17,1937,1241.470588,1243.970588,1147.595745,820.5753425,496.9569892,532.2857143,351,1249.12,571.6976744,675.2884615,379,874.8252427,1314.04386,1023.93578,1006.834043,784.6296296,865.9444444,1099.809859,816.4548193,678.030303,748.259434,862.0910816,851.6818182,914.3434343,650,583.6103896,842.7974684,707.95,1022.351852,1566.413551,660.2818792,814.4193548,618.4,680.4,1296,968,621.8235294,493,555.4509804,382.8,1007.959184,606.72,405.3043478,510.4166667,313.75,2125,828.2,496.5555556,1222.547009,1238,1428.7,653.4,200,753.1176471,1006.435354,681.1016807,830.1919875
18,1938,999.2980132,1117.808081,959.36,834.1976048,791.1570248,1155.896552,1344.75,1283.348837,935.1564626,890.4814815,722.7037037,958.5744681,1047.181818,1003.03871,828.2965517,1102.551111,539.0888889,837.175,617.7918782,562.3660714,780.2403846,825.984,730.0305927,979.0542636,1059.972376,1233.664384,1066.037815,1451.923913,1309.68599,921.257971,862.3267974,703.8275862,987.6580882,771.9059829,411.5384615,484,757.8,666.3333333,983.2352941,1712.2,902.5060241,890.45,724.5967742,497.5172414,1167.75,706.5555556,344.4545455,939.1073826,805.25,992.75,643.8235294,336.4761905,298.2413793,518.9375,464.1141304,424.3629808,855.1034415
19,1939,1126.873563,874.7894737,720.8809524,860.6842105,848.0930233,892.6,939.4909091,662.8690476,839.5538462,1044.159509,965.4059406,1105.751412,675.3108504,715.84375,717.401937,719.2386364,738.0966851,671.0909091,651.5892857,755.464135,800.1457726,787.3439153,830.9683735,744.6912114,962.6263736,923.8455285,894.1176471,833.7419355,775.7892377,922.251773,693.5588235,652.25,815.7175141,855.3283582,1413.028571,746.7857143,624.1827957,521.2608696,987.4285714,604.3150685,5263.742857,830.3880597,878.1,1476.25,703.5441176,1997.222222,505.4736842,643.6585366,940.7727273,607.1842105,447.2777778,830.2771084,1106.3,331.2307692,632.7662903,1248.858696,917.1002355
20,1940,845.5572289,876.1656442,928.1210191,924.0882353,864.8235294,634.515873,737.09375,1895.841463,659.1304348,974.0114943,677.5,1100.716814,786.6615385,833.6016529,966.0487465,740.5594059,875.0946882,894.2814499,598.7331081,785.5877193,704.2638655,789.8091822,833.7211155,781.5321375,729.64,899.6277873,984.1576355,1092.918699,842.5621547,725.2583732,824.328629,743.4098074,686.2903226,819.7975,666.3636364,1131.55,1084.040816,1250.95,906.2352941,1153.321429,971.7910448,570.7619048,773.8863636,247.5333333,413.2,600.0588235,870.75,1001.238095,1178.3125,673.5,1077.107527,222.4375,280.6666667,766.0634921,456.0318627,607.1446602,820.685642
21,1941,959.0808824,948.057377,976.9454545,950.1041667,1107.251208,973.4664723,749.1572581,805.4010989,854.3432836,734.9826389,841.1754386,693.4361702,923.7465181,846.2695418,869.8075171,868.3501441,846.8077544,957.1268781,685.0909091,614.1748768,661.460815,833.283247,788.5856237,790.370452,824.7167183,716.3176471,931.0892857,1911.908163,930.5310078,894.650904,1221.598592,733.784375,791.3507853,766.6788321,623.7111111,542.5,752.5833333,1403.233333,748.5696203,859,1007.655172,842.3023256,849.6,1639.2,575,1762.5,2809.666667,1443.888889,806.5185185,296.125,441.5,631.0833333,1040,7918,544.3897306,452.336039,1035.54402
22,1942,836.4553265,951.96875,895.6235294,1540.094891,817.244898,1022.649123,766.7313916,1018.861538,783.5485961,940.5375494,1212.547945,807.8037791,936.6124031,890.0729167,865.8530973,844.2600243,1029.355634,750.5369128,736.6599598,658.9806094,719.1771379,988.8956871,761.2388235,793.8089005,828.7627291,900.4965585,837.0370066,910.2568027,1248.180049,994.7225064,1122.493151,798.3272727,860.2976589,840.2593037,886.5277778,728.5507246,761.6794872,834.6292135,1040.531646,660.7619048,953.221831,1033.75,742.9893048,701.4305556,648.4615385,729.8714286,3923.25,888.4,221.3333333,1323.654321,1286,362.2692308,631.5,467.0531915,640.2558672,596.2597436,910.227385
23,1943,1082.550661,956.9814815,1095.654206,901,749.3188406,1023.700297,664.5961538,2995.398714,726.1418919,915.6561514,1041.189189,977.8179348,814.1591512,918.0958722,930.2863585,844.039261,837.6947723,746.1720183,656.2603939,676.1188707,837.4749764,804.0595138,862.9557292,801.1092025,995.6802326,700.1597052,844.0037879,995.767209,964.380704,1311.896044,1297.067449,882.95053,723.8684211,791.2084746,1086.22807,1006.247059,892.5362319,1054.942529,873.167147,879.2934783,838.0578035,835.7596567,671.3647059,558.625,659.7597765,526.4375,1305,16115.42105,1064.333333,1154.736842,822.25,577.6363636,886.25,674.3868613,504.991009,651.7215812,1178.652861
24,1944,1038.613636,839.7600536,932.6851852,887.3872114,881.835,736.8071571,740.6648794,654.6168224,745.6468843,820.441704,742.7311475,935.1364522,785.0416281,874.5597105,755.372093,829.4038005,674.2170418,750.0244444,766.5990991,799.0613599,719.7389706,758.1442041,766.815859,744.0878294,759.8869464,805.5013661,877.3184855,1098.673197,888.3104449,966.7306792,782.7184685,1133.864336,832.0182768,967.2207792,2640.19917,701.6410256,708.6875,995.2676056,2088.956835,869.8051948,881.1545802,747.1694915,672.4347826,561.4897959,741.0215054,714.3421053,483.0422535,1304.209302,343.2028986,886.375,582.1538462,254.3076923,921.8571429,559.8888889,637.6202091,511.422586,841.0336529
25,1945,944.7932166,927.1842496,827.1036585,860.1751269,841.5486891,708.0340357,663.6592798,1054.178414,679.1530249,788.4156863,943.892638,926.7256757,799.3827792,838.7125581,817.7070467,786.2895587,831.5387548,759.5596708,694.2523759,797.2460432,766.7104447,867.4442519,877.2063492,775.8695255,828.9718919,913.3359202,844.1128049,891.1688073,979.320922,728.259018,1025.242857,676.2245302,855.8211474,851.6244395,735.1485714,1033.578059,933.3262411,922.6231454,907.9748744,952.4840989,763.8267857,757.9069767,712.1198257,901.25,597.6405694,1133.860759,1154.866667,2663.938776,1005.622951,624.5,621.3636364,634.94,414.9677419,921.4065041,533.7205234,545.300271,854.3434352
26,1946,985.9055944,874.0835443,951.8785425,916.1526104,1072.561201,725.2901734,785.7958801,694.9268293,725.8298153,822.8893035,885.8190104,867.7416073,835.0016094,819.4785837,866.8660131,757.8495238,806.0559062,761.010989,735.6335554,794.239212,695.0321932,1667.935549,1214.848995,802.0275325,768.7914163,784.273961,904.6693164,1093.088803,926.4037333,966.3602609,713.9120805,702.8939502,960.4990138,918.4187558,878.1851852,880.0282486,1000.3875,834.8591549,806.3950456,706.4883721,851.7255859,719.0224299,686.6287215,829.5695364,653.7241379,3031.466102,738.8170732,965.08,791.75,785.5952381,918.1176471,757.8571429,652.125,1021.311284,568.1734083,469.8552609,881.2736989
27,1947,956.106993,950.6912621,885,889.1934156,834.8481203,822.0946799,765.8936446,1226.76456,757.4813559,798.1742919,1065.052838,860.08867,821.5259414,832.518315,805.8040201,933.4764631,775.9544888,738.7239216,710.0138638,672.8618481,771.5295127,829.2261065,875.6268051,778.4371634,858.9615784,774.1271795,787.8066406,978.058309,870.6329222,818.3925811,823.3023447,1047.231179,823.5329154,844.7567114,1220.490541,799.2551867,784.6545455,775.6340956,769.2527288,1144.920354,893.5472837,693.2228261,729.761194,721.8666667,712.5983871,788.2162162,861.5333333,804.9215686,1201.12766,362.4368932,358.9375,698.625,760.125,689.905569,834.6996683,611.6169302,825.0221391
28,1948,853.07996,996.6141215,921.2586873,771.6786297,728.39,743.5652174,725.786383,824.9103448,735.1881895,797.624912,886.7114914,861.6101499,912.0969928,952.785113,914.5776014,849.1344498,1244.066713,930.5861183,711.8046181,724.6586599,801.0729654,790.8923634,914.7500955,879.127923,809.8325581,850.6452174,860.746769,1100.943231,907.8525862,928.425381,858.6280156,803.391494,753.7274481,1737.749046,804.7215496,802.9884696,676.0379581,719.3850856,826.162116,729.9712644,773.7907895,793.0404494,729.241453,615.1384615,810.8030303,871.2072072,709.6122449,884.890625,1017.71875,995.4864865,815.2,940.7941176,995.3888889,747.0200861,657.9368455,586.7935712,849.7721946
29,1949,906.0456522,912.0914044,883.6423119,845.1298701,800.1615764,818.7098121,714.3060217,1052.039326,797.0052751,805.9261993,882.7520737,780.3976784,852.1953393,873.2508039,979.729304,893.1940299,858.573854,742.6553633,768.0497581,817.1208426,766.1553495,873.0261495,858.3653465,851.5413043,905.8500452,894.215106,1086.593284,1093.513791,1006.504233,820.6164056,741.173926,806.2348574,1075.128023,929.6649114,854.0304487,777.1820041,864.547619,775.4006054,848.6336283,758.0102201,911.2140541,709.6952998,582.7264808,734.1113636,868.1452206,843.7271268,1004.025641,740,884.6923077,734.609375,765.4545455,830.3826531,620.6810345,762.3484087,1400.164668,495.8472635,847.4498071
30,1950,934.9795847,869.8520121,848.1498008,831.6477477,759.1308725,855.6778409,721.5139373,968.701209,769.3982131,898.9988591,804.959854,934.6011755,881.3499348,880.5351171,990.951164,859.1031136,818.0435281,837.2785445,724.3537792,730.124364,743.4767677,820.417611,778.4893725,960.0936786,1133.444704,943.3810208,1058.556641,1115.322467,928.3219244,845.9078774,915.2210102,756.6055276,849.4319157,1125.463789,869.2748344,812.7875,850.2391714,807.2633333,825.9728435,988.8220472,830.3142265,692.8359133,628.2630662,792.6800595,1349.944444,798.6338673,687.0565217,898.2173913,653.2366864,1369.592593,834.9215686,768.9386503,851.248,659.2524851,482.8089507,509.5690084,854.5599664
31,1951,1030.34284,932.3015612,862.1848118,773.2645622,733.2466603,876.9868106,790.7800394,763.7092139,773.1685106,809.3314235,850.6278055,858.0029791,793.5066941,808.2200944,890.2097686,896.059989,729.4747899,736.7279515,701.1868863,719.1784512,739.0344023,882.6382281,961.6858291,1032.95935,881.8125561,881.4384798,938.8102094,1188.037418,915.5752637,855.3800594,806.3524514,856.3824909,983.9797643,1624.969689,830.3339713,783.9863732,749.2998833,836.6261161,888.0530565,874.5618661,882.1542339,716.915379,703.6750903,634.0166667,744.2873462,723.814664,894.2280702,944.7377778,588.28,811.9350649,977.8265306,814.5359477,615.25,630.5240964,688.9386467,526.4368783,834.6068874
32,1952,889.7291093,987.2294118,867.7811871,922.4743502,842.2782891,726.0342268,733.5691651,845.8028169,755.6513642,866.9462078,799.0311194,915.4540315,824.1280467,853.4913151,900.6971795,802.4035886,746.9745418,757.1301847,708.2373105,717.4741468,702.6552718,804.1902448,850.814877,817.8521609,926.7535963,871.0640879,1027.152191,1073.346691,841.3269197,813.1876607,763.6168819,921.4430877,1028.726907,847.6171228,1221.839616,711.2858355,733.0183398,742.2882535,870.757675,858.4677824,1020.172805,771.5563161,737.4614428,866.4766187,717.2297189,825.77943,677.3089245,874.0630631,943.2285156,1353.740741,1235.157895,717.1603376,895.048,705.5448868,630.2752247,698.0144462,849.2525207
33,1953,886.6791597,906.2099832,856.8114004,818.9109229,795.0860122,716.0885097,698.3076305,777.3712667,715.7624196,792.6666667,886.8789323,810.8423595,820.4657596,814.0260566,841.6100179,901.6586022,830.5263158,806.3320649,668.0946251,697.0832035,736.7697266,827.1874309,815.2416494,867.9916902,859.6045363,827.9875352,915.6618357,973.7867571,901.0549716,790.1003956,776.0623728,825.2052951,836.474604,908.3799087,838.1755567,802.1449477,780.5349379,769.6476653,874.4508197,802.9750968,817.8256131,802.52237,959.0345212,675.3119869,1006.531928,751.3356784,839.2842857,788.9301205,829.1821138,603.3571429,703.8201439,793.0461165,671.8433735,788.1194235,622.2166105,557.5472821,803.2278277
34,1954,886.183995,886.3554356,988.2616279,923.0912059,842.1545234,738.1672391,807.5328577,885.9775691,711.6967236,798.3058772,842.0583564,819.235616,815.8227987,821.4065824,831.4784356,851.1735818,736.6529702,724.4507979,706.2151963,683.3984458,714.0044484,760.038978,811.5263371,848.0967645,850.57168,839.927593,943.6718305,1095.661795,1127.271155,973.4739466,874.9729292,812.2410125,972.3327216,877.5611143,913.1290043,756.8036493,686.3640738,876.2938988,976.0627294,2588.132637,825.8696386,751.6620983,775.3914489,698.6608187,767.0964467,876.8344371,740.1227513,795.3683409,719.6406068,922.0657895,936.1052632,782.4276557,769.3562874,782.7599569,576.3591248,514.0836249,854.1350433
35,1955,976.5004807,876.703393,865.9834537,789.9621309,933.3859288,700.5412574,718.914611,893.1573954,699.3778078,772.5001985,892.0881579,848.9877232,815.5292119,824.0397431,1010.668411,799.9557038,791.677621,798.3300925,716.867374,702.9128205,707.7632077,817.2402785,860.3301097,800.0450557,816.3072742,1081.896188,996.0706981,865.3184463,861.9878348,792.2668097,816.9298744,1031.083723,903.1250875,942.3129233,1301.596231,867.1826434,791.8075201,852.7118167,903.1989171,851.8374198,877.4785526,787.500446,810.6962337,764.2866535,840.2038249,817.7378687,743.310536,752.8693245,832.0786164,834.1438053,732.5498982,823.9631902,706.1220044,722.7872679,562.2084701,575.1338721,829.8601096
36,1956,927.9819005,866.9466736,913.4859089,816.0328396,799.8183972,788.224012,733.8398028,1144.534406,729.098528,764.0367825,823.3215577,828.6985431,819.5384143,829.0042963,833.9155529,804.0749048,952.6238318,721.4132441,652.3861798,730.2212262,682.7999687,1174.114586,822.4493401,822.683307,779.9139165,840.0696717,909.0617483,1139.390247,949.2324392,836.7869443,736.215742,789.5299781,969.9494125,852.2600125,932.6275191,844.8541465,870.2139721,912.7464438,905.5250247,841.4560992,847.9309848,1851.555897,734.4119935,788.5542484,796.7806248,870.0228086,796.762073,991.8380952,778.4622991,778.7743431,784.4570136,776.4767225,823.0952381,717.5412326,564.4315313,660.8073049,850.9460702
37,1957,875.1064187,953.0536038,882.7534429,791.6208791,764.7276579,769.2401461,752.6356968,816.6196237,736.4517358,776.9760043,840.941299,849.135894,797.3805328,819.1218303,826.905482,818.8625692,747.5603903,727.1346638,679.5045697,690.209607,727.0929245,926.9679364,812.5892314,806.4956983,853.5256326,1036.067884,976.3939801,962.8815558,849.5482293,1021.149532,814.7860256,897.1678852,821.9466999,1033.148691,1124.625786,852.3273062,823.0112474,804.8648111,862.8798638,853.65625,789.6690446,748.4160544,662.3672316,791.6991435,897.5182825,837.7018779,739.8247048,877.3801047,1250.679764,787.4229471,930.9265639,1078.088821,1958.916446,747.5408629,574.953645,582.4606165,857.7256309
38,1958,899.049437,868.4940727,843.4369912,821.5563103,757.8824309,734.3253701,866.8479096,1067.216667,733.4149197,792.5206809,817.3978102,833.4206583,801.481492,811.5107581,827.8349654,816.8875907,743.5748807,736.2012732,690.5020428,701.9247362,730.5245752,783.7084867,977.6196914,804.5593957,796.9663662,878.6492708,1009.249068,1097.268394,917.5483985,818.4642179,821.1434901,864.9068586,856.7694059,812.8439394,964.4418306,968.4100102,864.8548457,882.1473936,947.1192616,846.1597475,973.0152138,729.7461268,789.4106392,751.7255217,736.4974684,812.7880711,813.1718113,778.7388724,819.1947977,909.4231275,901.0442857,931.3842105,740.1374745,753.6895557,555.0846522,564.2812362,828.0030127
39,1959,925.0818217,903.1208764,830.3711039,793.7784688,805.1722595,715.8486126,745.2546903,968.9340087,712.9375697,773.4499079,798.3733739,821.2807343,793.5128355,814.2768868,806.3870018,814.0452634,849.3132985,730.8670344,648.1527704,658.7982456,707.3089245,740.6656057,847.6594045,777.6554974,811.1679659,830.44673,1019.195886,1133.372066,808.2217407,822.1731997,963.779846,797.5907962,978.2751742,964.2037606,861.8764027,834.9816498,858.602019,835.8315752,835.9112931,903.4892576,887.0659971,762.211068,793.5465072,809.450495,769.1504388,866.755706,831.6221441,805.9173184,990.3920279,828.5163842,853.8379205,864.9793271,942.0358589,733.9749655,588.3680904,568.2416228,823.8827041
