month,malecount,femalecount
13-Jul,511479,157006
13-Aug,616914,198948
13-Sep,669732,219400
13-Oct,714293,225921
13-Nov,487386,144371
13-Dec,335587,88985
14-Jan,236106,57025
14-Feb,176526,41479
14-Mar,330568,85624
14-Apr,473395,134273
14-May,583696,174810
14-Jun,620949,197579
14-Jul,647466,202136
14-Aug,630656,196719
14-Sep,651493,202856
14-Oct,587239,172111
14-Nov,391729,109285
14-Dec,306139,76377
15-Jan,227764,52093
15-Feb,161563,33064
15-Mar,265849,63042
15-Apr,457585,128432
15-May,608007,186113
15-Jun,621591,188655
15-Jul,687255,217011
15-Aug,720727,235991
15-Sep,808558,269400
15-Oct,807097,256792
15-Nov,674702,210001
15-Dec,568231,166368
16-Jan,379314,104457
16-Feb,417216,112587
16-Mar,634219,190551
16-Apr,674132,206510
16-May,783723,249847
16-Jun,947464,314618
16-Jul,876368,297078
16-Aug,999541,339589
16-Sep,1057055,371680
16-Oct,1044921,357032
16-Nov,827966,268652
16-Dec,596628,173165
17-Jan,541849,152992
17-Feb,567844,171785
17-Mar,538751,153476
17-Apr,854852,287729
17-May,1006280,339408
17-Jun,1131930,401253
17-Jul,1099384,401021
17-Aug,1162011,422385
17-Sep,1218524,444132
17-Oct,1251346,441805
17-Nov,930727,304200
17-Dec,651548,194802
18-Jan,547385,154257
18-Feb,633592,184022